category,filename,source_page,source_box_xywh,original_title_or_note
company-factory,company-factory/factory-forest-view.png,1,"91,265,496,155",cover forest landscape
company-factory,company-factory/factory-jumbo-roll-machine.png,1,"565,464,508,207",cover jumbo roll production line
company-factory,company-factory/factory-paper-rolls-workshop.png,1,"82,719,488,201",cover paper rolls workshop
company-factory,company-factory/factory-conveyor-detail.png,1,"440,1013,168,170",cover small conveyor/workshop image
company-factory,company-factory/factory-modern-workshop.png,1,"606,1014,516,239",cover modern production workshop
dining-napkins,dining-napkins/napkin-200-3ply-wd.png,2,"60,219,123,129",200三层WD
dining-napkins,dining-napkins/napkin-200-4ply-kraft.png,2,"472,220,135,130",200四层本色纸
dining-napkins,dining-napkins/napkin-200-4ply-white.png,2,"877,221,138,144",200四层W
dining-napkins,dining-napkins/napkin-200-3ply-kraft.png,2,"62,440,134,136",200三层本色
dining-napkins,dining-napkins/baoshijie-napkin.png,2,"479,450,118,134",保士洁餐巾纸
dining-napkins,dining-napkins/napkin-230a-16packs-90sheets.png,2,"880,447,122,130",16包(90张)230A纸
dining-napkins,dining-napkins/napkin-230a-4500-sheets.png,2,"63,667,121,136",4500张230A
dining-napkins,dining-napkins/napkin-230-2ply-wd.png,2,"468,669,122,135",230两层WD
dining-napkins,dining-napkins/napkin-23090-2ply-df.png,2,"875,669,132,136",23090两层DF
dining-napkins,dining-napkins/napkin-230-3ply-wd.png,2,"62,901,116,133",230三层WD
dining-napkins,dining-napkins/napkin-23015df-100sheets-60packs.png,2,"480,903,116,134",23015DF100张*60包
dining-napkins,dining-napkins/napkin-203-2ply-df.png,2,"878,903,126,129",203双层DF
dining-napkins,dining-napkins/napkin-250-2ply-df.png,2,"62,1137,130,126",250双层DF
dining-napkins,dining-napkins/napkin-230-2ply-kraft.png,2,"471,1139,113,123",230两层本色
dining-napkins,dining-napkins/napkin-230-3ply-kraft.png,2,"875,1137,116,126",230三层本色
dining-napkins,dining-napkins/napkin-250-2ply-wd.png,2,"61,1366,121,127",250双层WD
dining-napkins,dining-napkins/napkin-240-2ply-wd.png,2,"471,1348,124,145",240双层WD
dining-napkins,dining-napkins/napkin-250-3ply-wd.png,2,"876,1358,122,135",250三层WD
dining-napkins,dining-napkins/napkin-250-2ply-kraft.png,2,"60,1594,123,127",250双层本色
dining-napkins,dining-napkins/napkin-250-3ply-kraft.png,2,"470,1593,122,127",250三层本色
dining-napkins,dining-napkins/napkin-275-3ply-wd.png,2,"876,1593,118,127",275三层WD
dining-napkins,dining-napkins/napkin-275-2ply-wd.png,3,"60,221,126,126",275双层WD
dining-napkins,dining-napkins/napkin-275-2ply-kraft.png,3,"481,208,116,139",275双层本色
dining-napkins,dining-napkins/napkin-275-3ply-kraft.png,3,"874,215,124,131",275三层本色
dining-napkins,dining-napkins/napkin-280-2ply-wd.png,3,"59,454,118,123",280双层WD
dining-napkins,dining-napkins/napkin-280-3ply-wd.png,3,"467,455,119,123",280三层WD
dining-napkins,dining-napkins/napkin-280-3ply-kraft.png,3,"890,439,119,123",280三层本色纸
dining-napkins,dining-napkins/napkin-280-2ply-kraft.png,3,"61,668,122,137",280双层本色
dining-napkins,dining-napkins/napkin-300-2ply-df.png,3,"469,680,122,123",300双层DF
dining-napkins,dining-napkins/napkin-300-2ply-wd.png,3,"875,678,129,126",300双层WD
dining-napkins,dining-napkins/napkin-300-3ply-wd.png,3,"59,912,118,122",300三层WD
dining-napkins,dining-napkins/napkin-330-2ply-wd.png,3,"467,911,118,122",330双层WD
dining-napkins,dining-napkins/napkin-300-2ply-kraft.png,3,"874,913,117,122",300双层本色
dining-napkins,dining-napkins/napkin-300-3ply-kraft.png,3,"59,1137,120,125",300三层本色
dining-napkins,dining-napkins/napkin-330-3ply-wd.png,3,"467,1139,120,124",330三层WD
dining-napkins,dining-napkins/napkin-330-2ply-kraft.png,3,"875,1136,113,128",330双层本色
dining-napkins,dining-napkins/napkin-300-3ply-kraft-alt.png,3,"59,1366,111,125",300三层本色
dining-napkins,dining-napkins/napkin-330-2ply-wd-1-8-innerfold.png,3,"467,1365,119,126",1/8内折330双层WD
dining-napkins,dining-napkins/napkin-330-2ply-wd-1-8-suction.png,3,"875,1363,127,130",吸附式1/8折330双层WD
dining-napkins,dining-napkins/napkin-330-3ply-wd-1-8-innerfold.png,3,"61,1599,118,122",1/8内折330三层WD
dining-napkins,dining-napkins/napkin-330-3ply-wd-1-8-suction.png,3,"468,1589,114,132",吸附式1/8折330三层WD
dining-napkins,dining-napkins/napkin-330-2ply-kraft-1-8-innerfold.png,3,"873,1591,112,130",1/8内折330双层本色纸
dining-napkins,dining-napkins/napkin-330-3ply-kraft-1-8-innerfold.png,4,"61,222,121,126",1/8内折330三层本色纸
dining-napkins,dining-napkins/napkin-400-2ply-kraft.png,4,"470,219,122,129",400双层本色
dining-napkins,dining-napkins/napkin-400-2ply-wd.png,4,"876,221,118,128",400双层WD
dining-napkins,dining-napkins/napkin-400-3ply-wd.png,4,"61,453,123,126",400三层WD
